Tweet,Message,Matches,Polarity
36,RT DublinAirport Today is CanadaDay amp to celebrate we've flights for 2 with AirCanada to any of their Canadian destinations to give,celebrate,positive
37,Happy Canada day from ADredEnd modpack amp AdredenGaming 7DaystoDie,,neutral
38,RT CPC HQ Happy Canada Day cdnpoli,,neutral
39,"1967 Pamela Anderson born in Ladysmith, Canada. Home Improvement amp Baywatch OnThisDay pamfoundation",,neutral
40,RT stan sdcollins To all my Canadian followers I hope you have a Happy Canada Day tomorrow. The town here is filled with activities and I,,neutral
41,RT Posts from Asia Insane Invasion ,,neutral
42,"Canada announces 30 federal actions, incl support 4 natl SDG Forum 4 greater stakeholder collaboration, establishin",support,positive
43,Happy Canada Day ,,neutral
44,Happy Canada Day mycountry actorgoals canadaday,,neutral
45,RT CBC canada,,neutral
46,"RT 100ResCities Canadas four largest cities Montreal, Toronto, Vancouver, and Calgary are building a strong future for their respect","strong,respect",positive
47,Happy Canada Day ,,neutral
48," CassieMitchele Oh wow, this is truly awesome and cute Canada is and will be always my favorite country o","awesome,cute,favorite",positive
49,Happy Canada Day ,,neutral
50, GinFit4u Just missing the Canadian Bacon. Happy Canada Day ,,neutral
51,RT NatbyNature Happy Canada Day ,,neutral
52,Happy Canada Day and Happy Free Agency Day. These beauties are now available. DM us for details.,,neutral
53,RT DublinAirport Today is CanadaDay amp to celebrate we've flights for 2 with AirCanada to any of their Canadian destinations to give,celebrate,positive
54,RT Sethrogen Happy Canada Day ,,neutral
55,Happy Canada Day Our bottle shop and brewpub are open today at noon liveindie,,neutral
56,"RT IDA Canada No matter where we are, today, as Canadians, we celebrate Canada and the people who have built the country we love. Join in",celebrate,positive
57,RT ProudResister DID YOU KNOW Canada is the most educated country in the world with 55 of adults having a college degree. Simple explan,educated,positive
58,RT ShawnMTrack Happy Canada Day ,,neutral
59,"RT CanadianPM No matter where we are, today, as Canadians, we celebrate Canada and the people who have built the country we love. Join in",celebrate,positive
60, VancityReynolds RosieBarton Sorry but that's a very short view of Canada's history. 1867 is one many births .,,neutral
61,"RT AndrewScheer Three provinces, four flights, five time zones, and one beautiful country. Im really excited for my cross country Canada","beautiful,excited",positive
62,"RT VancityReynolds Happy Birthday to my 152 year old lover, Canada. CanadaDay",,neutral
63,RT HarjitSajjan Congratulations to everyone in Trenton who kicked off CanadaDay early by breaking the Guinness Book record for the world,breaking,negative
64,"RT worldsfinest To Canadians taking in the fireworks tonight, fear not Batman will be around to make sure festivities go off without a h",fear,negative
65, meowriza they're also in Canada and it's a solid 8 10,solid,positive
66,Happy Canada Day ,,neutral
67,RT Sethrogen Happy Canada Day ,,neutral
68,RT beatsbybnks BeatStars My goal is Sell 2 exclusive 5 leasing beats week. Song on the Billboard 100 US n Canada . 1 serious a,,neutral
69,RT QueenBeeCanadas So I hate to say this today of all days Canada SHAME The cartoon of FuckTrump is 100 accurate amp deserved to go,"hate,accurate",neutral
70,"RT bruce arthur A lot of people shared that edited video, it appears, including globalnews. Woof. This election is gonna be a mess. And",,neutral
71,RT TourismHamilton Looking for ways to spice up your CanadaDay We've got lots happening in HamOnt,,neutral
72, TreasuryMog Happy Canada Day.,,neutral
73,Happy Canada Day Canada OhCanada Marijuana Hemp Cannabis,,neutral
74, Canada 's motto from Psalm 72 8 The Salvation Army Alberni Valley Ministries,,neutral
75,RT MStrooo6 HAPPY CANADA DAY to this beautiful country ,beautiful,positive
76,"RT VainHostile fordnation So, where you at, Dougie Come hang out at some event so people can Boo you until they're hoarse. So much che",hang,negative
77,"RT LeonardRoxon Old but very relevant news, given Trudeau's relationship with China. He is the great admirer of China, till they decided","great,admirer",positive
78,Happy 152nd Birthday CANADA Memorable............................. RAPTORs FANs singing O Canada NBA Finals.,,neutral
79,Enjoying Canada Day when this happens . rollingstones epicperformance,,neutral
80,"RT CanadianPM No matter where we are, today, as Canadians, we celebrate Canada and the people who have built the country we love. Join in",celebrate,positive
81, Canada CanadaDayWeekend,,neutral
82,Happy Canada Day to our northern neighbors ,,neutral
83,This photo says so much about why I am proud to be Canadian OhCanada CanadaDay2019 CanadaDay CanadaProud,proud,positive
84,RT swiftsupdates Happy Canada Day to all the Canadian Swifties out there madisonford13 ,,neutral
85,RT ProudResister DID YOU KNOW Canada is the most educated country in the world with 55 of adults having a college degree. Simple explan,educated,positive
86,RT CHFManitoba Happy Canada Day from all of us at the Children's Hospital Foundation of Manitoba We are thankful for our donors and prou,thankful,positive
87,Happy Canada Day to all fellow Canadians. CanadaDay2019,,neutral
88,Happy Birthday Canada ,,neutral
89,"RT AGWillliamBarr SEPT 2016 If Trump wins, he'll start WWIII with North Korea Dems OCT 2016 If Trump wins, I'm moving to Canada ",,neutral
90,"Sorry to interrupt your Twitter feed, but just wanted to wish everyone a happy Canada Day ","interrupt,happy",neutral
91,Happy Canada day to everyone except Doug Ford ,,neutral
92,"Happy CanadaDay to our Canadian associates, clients and partners Watch how we're collaborating with health provi",,neutral
93,"RT VancityReynolds Happy Birthday to my 152 year old lover, Canada. CanadaDay",,neutral
94,RT HarryMcGrath2 Remembering Flora MacDonald on CanadaDay2019 Canada's first female foreign minister amp took decision on Vietnamese boat,,neutral
95,Happy Canada week,,neutral
96,RT mental floss Happy Canada Day What Exactly Is Canada Day ,,neutral
97,What better place to celebrate Canada Day Niagara Falls,"better,celebrate",positive
98,"RT ArleneDickinson Canada. Where people of different races, beliefs and genders live side by side in peace and freedom, caring for nature",peace,positive
99,RT BSmile Take off To the Great White North Take off It's a beauty way to go. The perfect song for Canada Day Bob and Doug McKe,"beauty,perfect",positive
100,"RT hockeyesque Happy Canada Day everyone. Canada is still a concept, an experiment, according to my friend Deneze Here's to keep working",,neutral
101,RT Paulatics Paula Simons My Canada includes Alberta,,neutral
102,RT Puglaas Happy CanadaDay2019 Wishing everyone well as we celebrate Canadas 152nd Birthday in VanGran and beyond. ,"well,celebrate",positive
103,"RT JustinTrudeau Happy Canada Day We have a lot to celebrate, and its all thanks to Canadians like you.",like,positive
104,Kids In The Hall Message from Queen of England To Canada,,neutral
105,"RT MikeFollowsNo1 globalnews To those of us who embrace our country and what it stands for, it is an announcement of pride. For those tr",,neutral
106,"RT VancityReynolds Happy Birthday to my 152 year old lover, Canada. CanadaDay",,neutral
107,"RT AndrewScheer Three provinces, four flights, five time zones, and one beautiful country. Im really excited for my cross country Canada","beautiful,excited",positive
108,"RT CanadianPM No matter where we are, today, as Canadians, we celebrate Canada and the people who have built the country we love. Join in",celebrate,positive
109,Question pour un champion Cest quoi la fte du Canada et il fte quoi en ralit Merci de vos clairages.,champion,positive
110,RT pjmsfairys CANADA GOT BLESSED WITH THESE SELCAS TAKEN IN THE COUNTRY CanadaDayWithLuv,,neutral
111,RT RobAnderson2018 Remember when we liked Democracies like Canada and hated dictatorships like North Korea Good times.,"liked,like,hated",positive
112,"RT SmithRaps Happy Canada Day, Canada We've got our issues and work needs to be done but still, greatest country on Earth.","issues,work,greatest",positive
113,RT BobRae48 Happy Canada Day Bonne Fete du Canada ,,neutral
114,"RT CMHR News To celebrate Canada Day, admission to our galleries is only 5 and includes admission to all galleries and the Mandela Stru",celebrate,positive
115,Happy Canada Day NatAchon,,neutral
116,"RT JustinTrudeau Happy Canada Day We have a lot to celebrate, and its all thanks to Canadians like you.",like,positive
117,"RT VancityReynolds Happy Birthday to my 152 year old lover, Canada. CanadaDay",,neutral
118,Happy Canada Day to all of our kuseahawks brothers and family to the North kuseahawks canadaday,,neutral
119,"RT GGJuliePayette Canada Day is for getting together with friends, family and loved ones. Wherever you may be, whatever you will be doing",loved,positive
120,RT friendscb HappyCanadaDay Weve come a long way to be the vibrant country that we are today. Join us in protecting Canadas culture amp ,vibrant,positive
121,"RT lights Hello, am flag Got a sale up in the Canadian store on a bunch of designs, happy Canada Day https t.co YJ8pgCLnEj http",happy,positive
122," DeniseInCanada They aren't voting, though, DeniseinCanada. There are many people in Canada that don't make it t",,neutral
123,Happy Canada day,,neutral
124,The Jacks are back Come out to Andrews Field to celebrate Canada and support the boys as they continue their push,"celebrate,support",positive
125,Happy Canada Day HappuBirthday CanadaDay,,neutral
126,RT ProudResister DID YOU KNOW Canada is the most educated country in the world with 55 of adults having a college degree. Simple explan,educated,positive
127,RT yungsids canada day is a celebration of colonial violence and indigenous genocide canadians across the country ,"celebration,genocide",neutral
128,RT Sethrogen Happy Canada Day ,,neutral
129,"RT RoyalFamily Wishing all our Canadian followers a very happy Canada Day CanadaDay Find out more about The Queen of Canada, her role",happy,positive
130,"RT VancityReynolds Happy Birthday to my 152 year old lover, Canada. CanadaDay",,neutral
131,Our PeoplesPicnic is starting shortly Cant wait to celebrate Canada Day and this important tradition. ONPoli,"celebrate,important",positive
132,"RT AMHotFlash A self declared caravan of Americans bused across the Canada U.S. border on Saturday, seeking affordable prices for insul",affordable,positive
133,"RT VancityReynolds Happy Birthday to my 152 year old lover, Canada. CanadaDay",,neutral
134,Happy Birthday Play Happy Canada Everyone All Canadian Tennis match at Wimbledon playthecat PLAY canadaday,,neutral
135,"RT ArleneDickinson Canada. Where people of different races, beliefs and genders live side by side in peace and freedom, caring for nature",peace,positive
136,RT CBC canada,,neutral
137,RT cdnfp Happy Canada Day CU NPSIA FPACarleton Canadafp cdnfp CBCOttawa CBCOttawa ottawacitizen ctvottawa Routledge,,neutral
138,"RT lights Hello, am flag Got a sale up in the Canadian store on a bunch of designs, happy Canada Day https t.co YJ8pgCLnEj http",happy,positive
139, JustinTrudeau Happy Canada Day ,,neutral
140,RT QuarkExpedition Happy CanadaDay to our Canadian followers What's a better way to celebrate this occasion than by exploring Baf,"better,celebrate",positive
141,RT davelackie Happy Canada Day I'm celebrating by giving away DSquared2's NEW Wood pour Femme fragrance a woody floral with notes of m,,neutral
142,Happy Canada Day,,neutral
143,Happy Canada Day ,,neutral
144,"RT MinnKristen I bought insulin for my son in Canada today over the counter, with no insurance. I paid 268 USD for insulin that woul",,neutral
145,Happy Canada Day You have to have maple syrup and play hockey today that's the rules. YesWeCanada,,neutral
146,"RT lights Hello, am flag Got a sale up in the Canadian store on a bunch of designs, happy Canada Day https t.co YJ8pgCLnEj http",happy,positive
147,RT AboveavgJoe1 Noel YYC This mea culpa will stand for nothing if you and your colleagues don't agree on a moratorium on anything from C,,neutral
148,"RT xiaofanchuanart Happy Canada Day What's more Canadian than hockey, maple syrup and moose For those unfamiliar, Oh Canada is the C",,neutral
149,Happy Canada Day ,,neutral
150,RT davelackie Happy Canada Day I'm celebrating by giving away DSquared2's NEW Wood pour Femme fragrance a woody floral with notes of m,,neutral
151,RT Sethrogen Happy Canada Day ,,neutral
152,RT nailogical Happy Canada Day from your fAvOuRiTe NaiL ArT cHaNnEL CanadaDay2019,,neutral
153,"RT ArnoldcommaJon A speech, a snapback and a semifinal spot Inside Haiti's comeback win over Canada",win,positive
154,Happy Canada Day CanadaDay2019,,neutral
155,RT losman94 Happy Canada Day. Your favorite horror movie from Canada PromoteHorror 12nighthorror jayjayrose7 1carolinagirl twisted,"favorite,twisted",neutral
156,RT Harryslaststand It's the best kept secret in Canada that one of its provinces is literally owned and controlled by one family the Irvi,best,positive
157, trishstratuscom Happy Canada Day,,neutral
158,Happy Canada Day ,,neutral
159,Happy birthday Canada Thankful for diversity and free health care. ,free,positive
160,"RT brycetache Sharing this pic from 9 yrs ago, my boys who are Canadian at CanadaDay parade in Halifax. To all our friends amp family amp ",,neutral
161," HurtubiseDenis MarieClaudeCt1 DocDeRome davidmmilot Je l'ai vu. Ensuite, les actualits l'on aussi comment. v",,neutral
162,No better feeling. Happy Canada Day WeAreTeamCanada,better,positive
163,Happy Canada Day from the best place on earth domesweetdome rogerscentre skydome torontobluejays bluejays,best,positive
164,RT steve4good This must be the biggest British journalistic investment into the arguments regarding cannabis legalisation in at least 20,,neutral
165,Happy Canada Day from the Csumrik Family and there crew Have fun be safe and most of all GO BOATING ,"fun,safe",positive
166, saada AstoldbyZee Imma keep at it but Canada is getting whatever we have to offer come August lol,,neutral
167,Happy Canada Day,,neutral
168, shewitsch Happy Canada Day High of 28 C enjoy the day everyone. ,enjoy,positive
169,RT fordnation Happy CanadaDay Ontario is offering free admission to the first 500 visitors at 10 Ontario attractions across the pro,free,positive
170, CharlesPPierce I love Canada because No trump No trump,"love,trump",positive
171,RT TorontoFC Happy Canada Day TFCLive CanadaDay,,neutral
172,RT Sethrogen Happy Canada Day ,,neutral
173, joshberka AngieMaskeBerka I'm headed to Canada on the 15th. You need to restock your supply of these ,,neutral
174,A proud Canadian for 2 3 of my life.I chose Canada for its commitment to core value of Fairness for the many over,"proud,commitment",positive
175,Happy Canada Day to all of our Canadian friends and fans HappyCanadaDay CavesBranchJungleLodge Belize,fans,positive
176,RT MadelnCanada Happy Birthday Canada 152 has never looked so good. CanadaDay ,,neutral
177,With all the tragedy in the world I have been thinking a lot about my good fortune amp privilege to have been born t,"tragedy,good,fortune,privilege",positive
178,Happy Canada Day ,,neutral
179,happy canada day to my fellow canadian followers,happy,positive
180,Happy Canada's Day canadaday bhivelabs bhive,,neutral
181,"RT VancityReynolds Happy Birthday to my 152 year old lover, Canada. CanadaDay",,neutral
182,RT MarioLemieuxFdn Happy Canada Day ,,neutral
183,Happy Canada Day ,,neutral
184,"RT MinnKristen I bought insulin for my son in Canada today over the counter, with no insurance. I paid 268 USD for insulin that woul",,neutral
185,The Canadian national anthem is and always will be a BANGER. Happy Canada Day.,,neutral
186,So Revenue Canada wants a letter from me. ONLY IN CANADA SUCH STUPIDITY. DO I HAVE TO BEAR MY ARS TO THE WORLD TO,,neutral
187,RT SkellyHamilton Wishing everyone in FlamboroughGlanbrook and across HamOnt a very Happy Canada Day ,,neutral
188,"Well said, great to have wonderful friends across this country, hope you and your family have a wonderful Canada Da","great,wonderful",positive
189,RT nailogical Happy Canada Day from your fAvOuRiTe NaiL ArT cHaNnEL CanadaDay2019,,neutral
190,Happy Canada Day,,neutral
191,"RT Snakesandlattes Happy Canada Day Pride month may be over, but were proud of our LGBTQIA staff, guests, family, friends, amp loved one","proud,loved",positive
192,Definately Mama material Happ 4plantscup CanadaDay,,neutral
193,Happy Canada day Pattie and justin,,neutral
194,"Happy Birthday Canada To celebrate, we are open early at 10 30 AM and serving brunch until 3 00 PM to help yo",,neutral
195,RT PuppyKinky Happy Canada Day Especially to amazing Canadian Masters like FindomKingJase and TorontoAlpha findom,"amazing,like",positive
196,"Happy Canada Day, eh ",,neutral
197,Happy Canada day,,neutral
198,Happy Canada Day We are truly blessed to live in such an amazing country ,amazing,positive
199,"Canada Day Bbq with chrissyteigen sides Roasted Cauliflower, Feta, and Orzo salad and Creamy Potato salad with",,neutral
200,RT 1mohawklawyer Agreed in Canada all legislative law is a tool that in some way advances Indigenous colonization and assimilation. C,,neutral
201,RT JustBeerApp Looking for some fun CanadaDay events to hit up tomorrow Check out these places in YYC and YEG to have a beer and cele,fun,positive
202,Happy Canada Day ,,neutral
203,Hello Space Station from Sault Ste. Marie Ontario Canada 278.4 mi away NASA Johnson issabove,,neutral
204,"RT SimonChapman6 Juul, the ecig 35 owned by Philip Morris 12.8b stake ",,neutral
205, NatbyNature happy Canada day,happy,positive
206,HAPPY CANADA DAY ,,neutral
207,A Canada Day thought Hawkins Cheezies dont spend a lot on advertising.,,neutral
208,Happy Canada Day ,,neutral
209,HAPPY CANADA DAY ,,neutral
210,Celebrate a fantastic Canada with friends and family CanadaDay2016 OCanada,fantastic,positive
211,"Capital B Wines and our partner, BuonamicoWines, wish everyone a Happy Canada Day https t.co gURCo7FYiX wine",,neutral
212,RT DrJenGunter Happy Canada Day ,,neutral
213,"RT RussDiabo Two thirds of Indigenous people don't feel respected in Canada, according to pre election survey CBC News",,neutral
214,RT DonDavies Perspective Canada spends 250 billion annually on healthcare. Adding public coverage for pharmacare would cost 15 bil,,neutral
215,"Canada Day wasn't always widely celebrated, or even known as Canada Day.",,neutral
216,Happy Canada Day and Happy Riders gameday ,,neutral
217,RT trishstratuscom Good morning to my fellow countrymen and women And ... HAPPY CANADA DAY ,,neutral
218, USA Canada France trumpism DoubleStandards Hypocrisy O sont les JeSuisCharlie Bande dhypocrites ,,neutral
219, mov46 davelackie Happy Canada Day Mariola ,,neutral
220,RT Sethrogen Happy Canada Day ,,neutral
221, DianaV7654 Happy Canada Day my friend ,,neutral
222,RT HunDude GNW companies decided to consider strategic alternatives for MI Canada as a result of the absence of any substantive progre,"absence,substantive",neutral
223,"RT MeerderWorter Parks Canada, City of Orillia Do not reinstall racist Samuel de Champlain statue in Orillia Sign Now ",racist,negative
224," JonasPWerner My grandmother was Canadian, from New Brunswick. Until I moved to Florida, went to Canada many times.",,neutral
225,"As we celebrate CanadaDay, we're thankful for our hosts. They are our partners in defending North America. They ar","celebrate,thankful",positive
226,RT CBC canada,,neutral
227,"RT MinnKristen I bought insulin for my son in Canada today over the counter, with no insurance. I paid 268 USD for insulin that woul",,neutral
228,RT TwitterMoments Birthday wishes pour in for Canada.,,neutral
229,RT wendchymes if I ever did a Sports illustrated cover it would need to fold out like map of USA amp parts of me would probably still spill,like,positive
230,Lots is happening. Life is pretty good. I'm pretty happy. Probably not doing much this Canada day. I'm alive and he,pretty,positive
231,RT erindavis O Canada youre not perfect but youre as close as it gets. Thank you for your bounty. May we never stop listening and imp,perfect,positive
232,Happy Canada Day ,,neutral
233, foxfie ca CNN In Canada ,,neutral
234, ZephPlayz Happy canada day ,,neutral
235,"RT JustinTrudeau Happy Canada Day We have a lot to celebrate, and its all thanks to Canadians like you.",like,positive
236,Universal Music Canada via Instagram Happy Canada Day from your friends at Umusic justinbieber,,neutral
237,Happy Canada Day,,neutral
238, CanadaDay Canada,,neutral
239,Happy Canada Day Truly proud and appreciative to be a citizen of our great country . An Island Red in honour o,"proud,appreciative,great",positive
240,Happy Canada's Day canadaday bhivelabs bhive,,neutral
241,Happy Canada Day I love and miss you hope to see you soon ,"love,miss",neutral
242,RT Sethrogen Happy Canada Day ,,neutral
243,Happy Canada's Day canadaday bhivelabs bhive,,neutral
244,RT tylerwhat16 Doug Ford spent 30 million of Ontario taxpayers money on propaganda ads attacking the carbon tax and still lost the batt,"propaganda,lost",negative
245,"RT VancityReynolds Happy Birthday to my 152 year old lover, Canada. CanadaDay",,neutral
246,Happy Canada day. We love Canadians.,love,positive
247, Miridunn Wishing you a very Happy Canada Day Miri ,,neutral
248,RT CalgaryPolice Happy CanadaDay Today our members will be making sure that everyone has a safe Canada Day in Calgary. Before he,safe,positive
249,"RT FunkoEurope Happy Canada Day To celebrate, we're giving away this Duke Caboom Pop Vinyl To enter, follow FunkoEurope and comment",,neutral
250,Happy Canada day Be safe and have fun ,"safe,fun",positive
251,Happy Canada Day CanadaDay,,neutral
252,Happy Canada Day From the Richmond Field Hockey Club.,,neutral
253,Happy Canada Day CanadaDay,,neutral
254, jozefaski Lol ..Happy Canada Day ,,neutral
255,RT commonwealthsec Happy CanadaDay Canada ,,neutral
256,RT PublicDomainRev O Canada Celebrate CanadaDay with a look at the fascinating array of photographs in the British Librarys Canadian C,fascinating,positive
257,Happy Canada day to all my fellow canucks ,,neutral
258,One thing I know about the rest of my life I know that I'll be living it in Canada https t.co uWGOvRmPYX,,neutral
259,"Not in anymore, but still a proud Canadian Happy Canada Day everyone Have one for me ",proud,positive
260,"RT CP24 A crowd of 70,000 people is watching the Rolling Stones perform in Oro Medonte, Ont., possibly for the final time in Canada https",,neutral
261,RT official ACE7 Have a good time ACE CHOICE TOUR CANADA,good,positive
262,RT CBC canada,,neutral
263,Happy Canada Day to all those Canadian both home and away. ,,neutral
264,"RT NLtweets On Canada Day, we also observe Memorial Day to remember the sacrifices made by the members of the armed forces in Newfoundlan",,neutral
265,RT 2muchfun4me ErinOTooleMP Election Canada recommended CPC James Bezan be placed under suspension for election cheating. He was also fo,recommended,positive
266,Happy Canada Day canada truenorthstrongandfree canadaday youthreachsimcoecounty openingdoorstothefuture,,neutral
267,"RT klibmapou Le Canada devra s'en souvenir qu'il a t rattrap, terrass par un pays sans stade, sans dirigeants, une quipe sans encadr",,neutral
268,"Si cette offre est aussi nulle et vague que la prcdente, c'est clair que a sera NON Le Syndicat des Mtallos",vague,negative
269,Canad kkkkk,,neutral
270,RT RMakichuk A reminder that Canada Day is also Memorial Day.,,neutral
271, DrSidaLiu Canada UofT All parties involved are very lucky to have you ,lucky,positive
272,RT Canada HAPPY CANADA DAY ,,neutral
273,RT homelesshub DYK that Canada is an international thought leader on homelessness Have you read the HousingFirst for Youth program mo,,neutral
274,Happy CanadaDay The Maple Leaf flag on a travellers backpack is not simply a widely recognized emblem of Canada,,neutral
275,Happy Canada Day to all my Canadians,,neutral
276,"The Distributed Proofreaders Canada eBook of My Mission to London, 1912 1914 , by Prince Lichnovsky.",,neutral
277,RT TwitterMoments Birthday wishes pour in for Canada.,,neutral
278,Joyeuse FteDuCanada La destination pour la famille est MuseeAvEspace. L'entre est gratuite aujourd'hui. Visite,,neutral
279,RT CanadaLove2019 Good morning Canada Happy 152nd Birthday Yawn....mental note for next year. Turn off weekly morning 6am alarm.,,neutral
280,Today is ... Canada Day My 4 year anniversary at GlasgowCS My last day in the office until next,,neutral
281,"RT AndrewScheer Three provinces, four flights, five time zones, and one beautiful country. Im really excited for my cross country Canada","beautiful,excited",positive
282,RT CBC canada,,neutral
283,"RT pewdiepie If you're struggling mentally, speak to someone close or call, you are important United Kingdom 116 123 United States","struggling,important",neutral
284,RT DublinAirport Today is CanadaDay amp to celebrate we've flights for 2 with AirCanada to any of their Canadian destinations to give,celebrate,positive
285,We arent in Canada to celebrate this year but after sailing through customs with no visa in London and New York th,celebrate,positive
286,RT davelackie Happy Canada Day I'm celebrating by giving away DSquared2's NEW Wood pour Femme fragrance a woody floral with notes of m,,neutral
287,RT nickjcss apparently its canada day and yall know what that means,,neutral
288,RT steve4good This must be the biggest British journalistic investment into the arguments regarding cannabis legalisation in at least 20,,neutral
289,"RT Cmdr Hadfield Happy Canada Day, from the Hadfields. https t.co 0suyOvMnQU",,neutral
290,"Wishing friends, family and residents across this great country a safe and happy Canada Day If youre in Hay River","great,safe,happy",positive
291,"RT WilmaPessoa Grupos de extrema direita sendo tratados como o que de fato so, terroristas Canad inclui grupos de extrema d",,neutral
292,RT KimmiKierstead Its heart breaking to read things like this. But even worse when it was my father they left laying in the drunk tank w,"breaking,like,worse,drunk,tank",negative
293,RT davelackie Happy Canada Day I'm celebrating by giving away DSquared2's NEW Wood pour Femme fragrance a woody floral with notes of m,,neutral
294,RT trishstratuscom Good morning to my fellow countrymen and women And ... HAPPY CANADA DAY ,,neutral
295,"RT FPSChief Happy Canada Day As you enjoy your holiday, please remember to think of all the first responders who are working to keep",enjoy,positive
296,Happy Canada Day from all of us at Literacy Link South Central ,,neutral
297,"RT RCAF ARC The RCAF will conduct flybys on July 1, 2019, as part of several Canada Day celebrations in communities across the country.",,neutral
298,Happy CANADA day to all my Canadian friends and colleagues Ill be back back soon ,,neutral
299,"En Canad, hoy es fiesta nacional. Pero en Quebec, es otra cosa el Da de las Mudanzas. La mayor parte de los cont",,neutral
300,RT Canada HAPPY CANADA DAY ,,neutral
301,Curious has anyone studied what actually happens if Alberta cut a neighbouring province off from their oil I mean,,neutral
302,"RT GMcanada In Canada, were leading in electric vehicle sales, growing the largest automotive software development team in the country a",leading,positive
303,"RT GMcanada In Canada, were leading in electric vehicle sales, growing the largest automotive software development team in the country a",leading,positive
304,"In Canada, were leading in electric vehicle sales, growing the largest automotive software development team in the",leading,positive
305," CNN Car dealers in Canada tried to appease our leaders qualities in a sale deal. Each client gets a UN hat, a reus",,neutral
306,"People are making the moves to electricvehicles in Saskatchewan, as EV sales have doubled across the province, wit",,neutral
307,Used cars from Canada. Toyota Camry 2005 and other vehicles available for sales 6 months installmental payment. Ve,available,positive
308,"Statistics Canada says wholesale sales increased 1.7 to 65.3 billion in April, boosted by the motor vehicle and m",,neutral
309,RT GMcanada Pres. Travis Hester awarded bourgeoisrawdon Chevrolet GM's Presidents Club Innovation Award for their electric vehicle sale,awarded,positive
310,Used cars from Canada. Buy or order a vehicle of your choice. 6 months installmental payment. 35 down payment. Veh,,neutral
311,Record Hybrid Electric Vehicle Sales Power 2nd Best Month Ever for Toyota Canada Inc. ,,neutral
312," busdriverlife rozalita robshaw vansun jjhorgan Even if 100 of vehicle sales in Canada were EVs by 2030, its ef",,neutral
313,"post secondary education, the right to work in Canada with just a few exceptions. A Canadian permanent resident is","right,work",positive
314,"issuance of a Canada immigrant visa, which confers permanent status upon the applicant who, as a permanent resident",,neutral
315,Did you know that my adopted country Canada is the most educated country among the wealthy group of OECD nations J,"educated,wealthy",positive
316,All About Education in INDIA and ABROAD India newdelhi mumbai ahmedabad punjab rajasthan maharashtra,,neutral
